09/12/2025,Modalidade,10/12/2025,Modalidade,11/12/2025,Modalidade,12/12/2025,Modalidade,13/12/2025,Modalidade,15/12/2025,Modalidade,16/12/2025,Modalidade,17/12/2025,Modalidade,18/12/2025,Modalidade,19/12/2025,Modalidade,20/12/2025,Modalidade,21/12/2025,Modalidade,22/12/2025,Modalidade,23/12/2025,Modalidade,24/12/2025,Modalidade,26/12/2025,Modalidade,27/12/2025,Modalidade,29/12/2025,Modalidade,30/12/2025,Modalidade,31/12/2025,Modalidade
"R$ 66,50",Recebimento Crediario,"R$ 91,60",Recebimento Crediario,"R$ 139,50",Débito Sicredi,"R$ 389,99",Crediário,"R$ 148,50",Pix Sicredi,"R$ 13,50",Dinheiro,"R$ 240,59",Pix Sicredi,"R$ 229,99",BonusCred,"R$ 99,99",Crédito Av Sicredi,"R$ 169,99",Parcelado 2 a 4 Sicredi,"R$ 233,98",Pix Sicredi,,,"R$ 330,00",Dinheiro,"R$ 116,99",Pix Sicredi,"R$ 200,00",Dinheiro,"R$ 262,00",Dinheiro,,,"R$ 161,99",Pix Sicredi,"R$ 135,00",Débito Sicredi,,
"R$ 80,99",Pix Sicredi,"R$ 100,00",Recebimento Crediario,"R$ 139,99",Parcelado 2 a 4 Sicredi,"R$ 108,00",Crédito Av Sicredi,"R$ 107,99",Crédito Av Sicredi,"R$ 279,99",Parcelado 5 a 6 Sicredi,"R$ 150,00",Dinheiro,"R$ 109,99",Parcelado 2 a 4 Sicredi,"R$ 179,99",Crédito Av Sicredi,"R$ 189,00",Dinheiro,"R$ 209,99",Parcelado 2 a 4 Sicredi,,,"R$ 143,99",Débito Sicredi,"R$ 107,99",Pix Sicredi,"R$ 95,00",Crédito Av Sicredi,"R$ 21,00",Crédito Av Sicredi,,,"R$ 9,00",Dinheiro,"R$ 229,40",Débito Sicredi,,
"R$ 69,99",Crédito Av Sicredi,"R$ 98,99",Pix Sicredi,"R$ 80,99",Pix Sicredi,"R$ 242,99",Crédito Av Sicredi,"R$ 143,99",Crédito Av Sicredi,"R$ 249,99",Parcelado 2 a 4 Sicredi,"R$ 20,00",Débito Sicredi,"R$ 206,99",Crédito Av Sicredi,"R$ 251,98",Débito Sicredi,"R$ 413,97",Débito Sicredi,"R$ 189,99",Parcelado 2 a 4 Sicredi,,,"R$ 122,40",Recebimento Crediario,"R$ 100,00",Recebimento Crediario,"R$ 449,97",Parcelado 5 a 6 Sicredi,"R$ 350,00",Pix Sicredi,,,"R$ 9,00",Débito Sicredi,"R$ 157,50",Débito Sicredi,,
"R$ 283,42",Recebimento Crediario,"R$ 99,99",Crédito Av Sicredi,"R$ 219,98",Parcelado 2 a 4 Sicredi,"R$ 315,00",Dinheiro,"R$ 130,00",Dinheiro,"R$ 36,00",Dinheiro,"R$ 95,40",Débito Sicredi,"R$ 189,00",Dinheiro,"R$ 89,99",Crédito Av Sicredi,"R$ 139,99",Parcelado 2 a 4 Sicredi,"R$ 143,99",Pix Sicredi,,,"R$ 62,99",Pix Sicredi,"R$ 279,00",Débito Sicredi,"R$ 116,99",Crédito Av Sicredi,"R$ 215,00",Crediário,,,"R$ 249,99",Crediário,"R$ 460,88",Parcelado 2 a 4 Sicredi,,
"R$ 135,00",Dinheiro,"R$ 499,95",Parcelado 5 a 6 Sicredi,"R$ 80,99",Pix Sicredi,"R$ 129,99",Crediário,"R$ 50,00",Dinheiro,"R$ 80,99",Dinheiro,"R$ 223,98",BonusCred,"R$ 117,00",Pix Sicredi,"R$ 400,00",Pix Sicredi,"R$ 135,90",Débito Sicredi,"R$ 179,99",Débito Sicredi,,,"R$ 50,00",Recebimento Crediario,"R$ 279,00",Dinheiro,"R$ 219,99",BonusCred,"R$ 100,00",Crediário,,,"R$ 249,99",Crediário,"R$ 166,50",Débito Sicredi,,
"R$ 62,99",Pix Sicredi,"R$ 50,00",Pix Sicredi,"R$ 219,99",Crediário,"R$ 53,00",Pix Sicredi,"R$ 100,00",Crediário,"R$ 117,00",Dinheiro,"R$ 137,50",Dinheiro,"R$ 162,99",Crédito Av Sicredi,"R$ 375,98",Crediário,"R$ 80,99",Crédito Av Sicredi,"R$ 89,99",Pix Sicredi,,,"R$ 125,99",Crédito Av Sicredi,"R$ 139,50",Débito Sicredi,"R$ 177,30",Dinheiro,"R$ 269,98",Crediário,,,"R$ 155,99",Crediário,"R$ 49,50",Débito Sicredi,,
"R$ 50,00",Débito Sicredi,"R$ 149,99",BonusCred,"R$ 149,99",Crediário,,,"R$ 449,98",Parcelado 5 a 6 Sicredi,"R$ 110,00",Crédito Av Sicredi,"R$ 142,90",Recebimento Crediario,"R$ 99,00",Pix Sicredi,"R$ 99,99",Crediário,"R$ 89,99",Pix Sicredi,"R$ 187,50",Recebimento Crediario,,,"R$ 139,50",Débito Sicredi,"R$ 159,00",Recebimento Crediario,"R$ 224,99",Pix Sicredi,"R$ 702,94",Crediário,,,"R$ 129,99",Crediário,"R$ 135,00",Dinheiro,,
"R$ 143,99",Débito Sicredi,"R$ 300,00",Recebimento Crediario,"R$ 150,00",Recebimento Crediario,,,"R$ 121,50",Débito Sicredi,"R$ 80,99",Pix Sicredi,"R$ 135,00",Pix Sicredi,"R$ 54,00",Dinheiro,"R$ 79,99",Crediário,"R$ 143,99",Crédito Av Sicredi,"R$ 341,97",Pix Sicredi,,,"R$ 359,97",Parcelado 2 a 4 Sicredi,"R$ 298,00",Dinheiro,"R$ 60,00",Recebimento Crediario,,,,,"R$ 259,97",Crediário,"R$ 434,98",Crediário,,
"R$ 179,99",Crédito Av Sicredi,"R$ 64,00",Recebimento Crediario,"R$ 26,00",Pix Sicredi,,,"R$ 385,95",Recebimento Crediario,"R$ 266,00",Dinheiro,"R$ 125,99",Pix Sicredi,"R$ 150,00",Recebimento Crediario,"R$ 149,99",Crediário,"R$ 202,98",Pix Sicredi,"R$ 279,00",Pix Sicredi,,,"R$ 116,99",Débito Sicredi,"R$ 269,99",BonusCred,"R$ 339,99",Parcelado 5 a 6 Sicredi,,,,,"R$ 89,99",Débito Sicredi,"R$ 239,99",Crediário,,
"R$ 424,97",Parcelado 2 a 4 Sicredi,"R$ 89,99",Pix Sicredi,"R$ 179,99",Parcelado 2 a 4 Sicredi,,,"R$ 159,99",Parcelado 2 a 4 Sicredi,"R$ 129,99",Parcelado 2 a 4 Sicredi,"R$ 175,00",Débito Sicredi,"R$ 281,00",Dinheiro,"R$ 89,99",Pix Sicredi,"R$ 50,00",Dinheiro,"R$ 90,00",Dinheiro,,,"R$ 598,50",Pix Sicredi,"R$ 208,80",Débito Sicredi,"R$ 161,99",Débito Sicredi,,,,,,,"R$ 180,00",Crediário,,
"R$ 89,99",Parcelado 2 a 4 Sicredi,"R$ 130,00",Crédito Av Sicredi,"R$ 139,99",BonusCred,,,"R$ 99,99",Dinheiro,"R$ 109,99",Crediário,"R$ 125,99",Débito Sicredi,"R$ 165,00",Recebimento Crediario,,,"R$ 180,00",Recebimento Crediario,"R$ 382,50",Pix Sicredi,,,"R$ 50,00",Dinheiro,"R$ 233,98",Débito Sicredi,"R$ 140,00",Recebimento Crediario,,,,,,,"R$ 140,00",Crediário,,
"R$ 50,00",Recebimento Crediario,"R$ 80,99",Débito Sicredi,"R$ 254,00",Pix Sicredi,,,"R$ 99,99",Parcelado 2 a 4 Sicredi,"R$ 339,99",Crediário,"R$ 188,98",Débito Sicredi,"R$ 116,99",Crédito Av Sicredi,,,"R$ 200,00",Recebimento Crediario,"R$ 99,00",Dinheiro,,,"R$ 189,00",Pix Sicredi,"R$ 107,99",Pix Sicredi,"R$ 170,98",Pix Sicredi,,,,,,,"R$ 130,00",Crediário,,
"R$ 50,00",Recebimento Crediario,"R$ 89,99",Débito Sicredi,"R$ 55,00",Dinheiro,\\,,"R$ 341,97",Crédito Av Sicredi,"R$ 149,99",Crediário,"R$ 169,99",Parcelado 2 a 4 Sicredi,"R$ 170,99",Crédito Av Sicredi,,,"R$ 279,98",Parcelado 2 a 4 Sicredi,"R$ 242,99",Pix Sicredi,,,"R$ 400,00",Recebimento Crediario,"R$ 170,00",Dinheiro,"R$ 157,50",Pix Sicredi,,,,,,,"R$ 153,00",Pix Sicredi,,
"R$ 308,00",Recebimento Crediario,"R$ 40,00",Débito Sicredi,"R$ 139,99",Parcelado 2 a 4 Sicredi,,,"R$ 418,50",Dinheiro,"R$ 179,99",Crediário,"R$ 189,99",Crediário,"R$ 152,99",Crédito Av Sicredi,,,"R$ 80,99",Pix Sicredi,"R$ 67,50",Crédito Av Sicredi,,,"R$ 143,99",Crédito Av Sicredi,"R$ 95,30",Débito Sicredi,"R$ 143,99",Débito Sicredi,,,,,,,,,,
"R$ 72,00",Pix Sicredi,"R$ 159,99",BonusCred,"R$ 108,00",Dinheiro,,,"R$ 63,00",Crédito Av Sicredi,"R$ 119,99",Crediário,"R$ 135,00",Dinheiro,"R$ 139,99",Parcelado 2 a 4 Sicredi,,,"R$ 279,99",Parcelado 2 a 4 Sicredi,"R$ 161,98",Pix Sicredi,,,"R$ 139,99",Parcelado 2 a 4 Sicredi,"R$ 179,99",Parcelado 2 a 4 Sicredi,"R$ 49,00",Pix Sicredi,,,,,,,,,,
"R$ 664,97",Crediário,"R$ 63,00",Pix Sicredi,"R$ 80,99",Crédito Av Sicredi,,,"R$ 224,98",Pix Sicredi,"R$ 129,99",Crediário,"R$ 89,99",Débito Sicredi,"R$ 175,61",Recebimento Crediario,,,"R$ 108,00",Pix Sicredi,"R$ 107,99",Débito Sicredi,,,"R$ 422,97",Débito Sicredi,"R$ 206,99",Débito Sicredi,"R$ 279,99",Parcelado 5 a 6 Sicredi,,,,,,,,,,
"R$ 122,99",Crediário,"R$ 149,40",Parcelado 2 a 4 Sicredi,"R$ 429,98",Crediário,,,"R$ 89,99",Crediário,"R$ 49,99",Crediário,"R$ 549,98",Parcelado 5 a 6 Sicredi,"R$ 30,00",Débito Sicredi,,,"R$ 330,00",Dinheiro,"R$ 72,00",Débito Sicredi,,,"R$ 170,99",Débito Sicredi,"R$ 350,99",Débito Sicredi,"R$ 81,00",Dinheiro,,,,,,,,,,
"R$ 379,89",Crediário,"R$ 99,99",Parcelado 2 a 4 Sicredi,,,,,"R$ 67,00",Crédito Av Sicredi,"R$ 299,97",Crediário,"R$ 36,00",Débito Sicredi,"R$ 252,00",Dinheiro,,,"R$ 99,99",Pix Sicredi,"R$ 80,00",Dinheiro,,,"R$ 391,47",Débito Sicredi,"R$ 229,99",Parcelado 2 a 4 Sicredi,"R$ 87,50",Recebimento Crediario,,,,,,,,,,
"R$ 319,97",Crediário,"R$ 63,00",Dinheiro,,,,,"R$ 140,00",Dinheiro,,,"R$ 225,00",Pix Sicredi,"R$ 36,00",Pix Sicredi,,,"R$ 99,00",Débito Sicredi,"R$ 80,99",Débito Sicredi,,,"R$ 249,99",Parcelado 5 a 6 Sicredi,"R$ 189,99",Parcelado 2 a 4 Sicredi,"R$ 56,00",Recebimento Crediario,,,,,,,,,,
"R$ 119,99",Crediário,"R$ 80,99",Débito Sicredi,,,,,"R$ 249,99",Parcelado 2 a 4 Sicredi,,,"R$ 47,50",Crediário,"R$ 209,99",Parcelado 2 a 4 Sicredi,,,"R$ 259,99",Parcelado 2 a 4 Sicredi,"R$ 125,99",Débito Sicredi,,,"R$ 66,00",Crédito Av Sicredi,"R$ 121,50",Crédito Av Sicredi,"R$ 249,98",Parcelado 2 a 4 Sicredi,,,,,,,,,,
"R$ 97,50",Recebimento Crediario,"R$ 569,98",Parcelado 5 a 6 Sicredi,,,,,"R$ 170,00",Crediário,,,"R$ 199,99",Crediário,"R$ 140,00",Débito Sicredi,,,"R$ 107,99",Crédito Av Sicredi,"R$ 190,00",Parcelado 2 a 4 Sicredi,,,"R$ 89,99",Débito Sicredi,"R$ 80,00",Dinheiro,"R$ 265,98",Parcelado 2 a 4 Sicredi,,,,,,,,,,
,,"R$ 299,99",Crediário,,,,,"R$ 107,99",Crédito Av Sicredi,,,"R$ 189,99",Crediário,"R$ 37,00",Recebimento Crediario,,,"R$ 250,00",Dinheiro,"R$ 194,99",Crediário,,,"R$ 206,98",Pix Sicredi,"R$ 99,80",Débito Sicredi,"R$ 349,98",Parcelado 2 a 4 Sicredi,,,,,,,,,,
,,"R$ 204,98",Crediário,,,,,"R$ 557,97",Crédito Av Sicredi,,,"R$ 109,99",Crediário,"R$ 126,00",Débito Sicredi,,,"R$ 37,98",Pix Sicredi,"R$ 154,99",Crediário,,,"R$ 99,99",Recebimento Crediario,"R$ 476,17",Parcelado 2 a 4 Sicredi,"R$ 116,99",Débito Sicredi,,,,,,,,,,
,,"R$ 89,99",Crediário,,,,,"R$ 100,00",Dinheiro,,,,,"R$ 116,99",Pix Sicredi,,,"R$ 135,00",Dinheiro,"R$ 169,99",Crediário,,,"R$ 106,50",Recebimento Crediario,"R$ 149,99",Parcelado 2 a 4 Sicredi,"R$ 365,00",Recebimento Crediario,,,,,,,,,,
,,"R$ 479,98",Parcelado 5 a 6 Sicredi,,,,,"R$ 149,99",Crediário,,,,,"R$ 143,99",Pix Sicredi,,,"R$ 197,99",Débito Sicredi,"R$ 109,99",Crediário,,,"R$ 135,00",Pix Sicredi,"R$ 153,00",Débito Sicredi,"R$ 89,99",Dinheiro,,,,,,,,,,
,,"R$ 300,00",Recebimento Crediario,,,,,"R$ 107,99",Débito Sicredi,,,,,"R$ 224,97",Pix Sicredi,,,"R$ 380,59",Pix Sicredi,"R$ 109,99",Crediário,,,"R$ 539,96",Parcelado 5 a 6 Sicredi,"R$ 80,99",Pix Sicredi,"R$ 125,99",Crédito Av Sicredi,,,,,,,,,,
,,"R$ 50,00",Crediário,,,,,"R$ 189,99",Crédito Av Sicredi,,,,,"R$ 100,00",Recebimento Crediario,,,"R$ 171,00",Débito Sicredi,"R$ 219,98",Crediário,,,"R$ 100,00",Dinheiro,"R$ 109,99",Recebimento Crediario,"R$ 548,97",Débito Sicredi,,,,,,,,,,
,,"R$ 669,95",Crediário,,,,,"R$ 80,99",Dinheiro,,,,,"R$ 116,99",Dinheiro,,,"R$ 341,98",Débito Sicredi,"R$ 60,00",Pix Sicredi,,,"R$ 149,99",Parcelado 2 a 4 Sicredi,"R$ 304,98",BonusCred,"R$ 161,98",Crédito Av Sicredi,,,,,,,,,,
,,,,,,,,"R$ 159,99",Parcelado 2 a 4 Sicredi,,,,,"R$ 249,99",Crediário,,,"R$ 161,99",Pix Sicredi,"R$ 199,97",Crediário,,,"R$ 161,98",Débito Sicredi,"R$ 185,38",Recebimento Crediario,"R$ 78,90",Débito Sicredi,,,,,,,,,,
,,,,,,,,"R$ 216,00",Pix Sicredi,,,,,"R$ 359,96",Crediário,,,"R$ 143,99",Pix Sicredi,"R$ 170,99",Débito Sicredi,,,"R$ 257,00",Débito Sicredi,"R$ 245,52",Recebimento Crediario,"R$ 252,98",Débito Sicredi,,,,,,,,,,
,,,,,,,,"R$ 59,99",Recebimento Crediario,,,,,"R$ 129,99",Crediário,,,"R$ 80,99",Pix Sicredi,"R$ 159,99",Parcelado 2 a 4 Sicredi,,,"R$ 153,00",Dinheiro,"R$ 264,99",Parcelado 5 a 6 Sicredi,"R$ 252,00",Pix Sicredi,,,,,,,,,,
,,,,,,,,"R$ 117,00",Pix Sicredi,,,,,"R$ 149,99",Crediário,,,"R$ 168,75",Recebimento Crediario,,,,,"R$ 257,00",Débito Sicredi,"R$ 50,00",Débito Sicredi,"R$ 99,99",Dinheiro,,,,,,,,,,
,,,,,,,,,,,,,,"R$ 414,96",Crediário,,,"R$ 116,99",Débito Sicredi,,,,,"R$ 125,99",Débito Sicredi,"R$ 152,00",Pix Sicredi,"R$ 250,00",Dinheiro,,,,,,,,,,
,,,,,,,,,,,,,,"R$ 99,99",Crediário,,,"R$ 139,99",Crediário,,,,,"R$ 143,99",Pix Sicredi,"R$ 89,99",Crédito Av Sicredi,"R$ 299,99",Parcelado 5 a 6 Sicredi,,,,,,,,,,
,,,,,,,,,,,,,,"R$ 170,99",Pix Sicredi,,,"R$ 239,89",Crediário,,,,,"R$ 314,98",Pix Sicredi,"R$ 171,00",Débito Sicredi,"R$ 152,99",Pix Sicredi,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"R$ 244,98",Crediário,,,,,"R$ 100,00",Recebimento Crediario,"R$ 129,99",BonusCred,"R$ 179,99",Parcelado 2 a 4 Sicredi,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"R$ 159,90",Crediário,,,,,"R$ 81,00",Dinheiro,"R$ 80,99",Débito Sicredi,"R$ 116,99",Pix Sicredi,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"R$ 329,97",Crediário,,,,,"R$ 26,00",Recebimento Crediario,"R$ 128,00",Recebimento Crediario,"R$ 198,00",Pix Sicredi,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"R$ 107,99",Crediário,,,,,"R$ 85,00",Dinheiro,"R$ 84,60",Pix Sicredi,"R$ 278,96",Pix Sicredi,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"R$ 159,99",Crediário,,,,,"R$ 89,99",Crediário,"R$ 134,99",Pix Sicredi,"R$ 554,36",Crédito Av Sicredi,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"R$ 114,99",Crediário,,,,,"R$ 189,90",Crediário,"R$ 80,99",Crédito Av Sicredi,"R$ 252,00",Dinheiro,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"R$ 44,99",Crediário,,,,,"R$ 99,99",Crediário,"R$ 166,50",Pix Sicredi,"R$ 162,00",Dinheiro,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"R$ 399,98",Crediário,,,,,"R$ 119,99",Crediário,"R$ 89,99",Pix Sicredi,"R$ 229,99",Parcelado 2 a 4 Sicredi,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"R$ 35,00",Crediário,"R$ 71,99",Crédito Av Sicredi,"R$ 317,97",Débito Sicredi,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"R$ 479,95",Crediário,"R$ 274,50",Débito Sicredi,"R$ 244,99",Parcelado 2 a 4 Sicredi,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"R$ 489,98",Crediário,"R$ 278,98",Débito Sicredi,"R$ 189,00",Crédito Av Sicredi,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"R$ 239,98",Crediário,"R$ 45,00",Pix Sicredi,"R$ 134,99",Débito Sicredi,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"R$ 264,99",Crediário,"R$ 45,00",Débito Sicredi,"R$ 99,60",Recebimento Crediario,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"R$ 89,99",Crediário,"R$ 117,00",Dinheiro,"R$ 253,99",Parcelado 2 a 4 Sicredi,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"R$ 129,99",Crediário,"R$ 519,96",Parcelado 5 a 6 Sicredi,"R$ 152,99",Pix Sicredi,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"R$ 229,98",Crediário,"R$ 200,00",Débito Sicredi,"R$ 89,99",Crédito Av Sicredi,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"R$ 219,98",Crediário,"R$ 175,00",Crédito Av Sicredi,"R$ 224,99",Dinheiro,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"R$ 449,98",Crediário,"R$ 107,99",Dinheiro,"R$ 202,50",Pix Sicredi,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"R$ 174,99",Crediário,"R$ 116,99",Débito Sicredi,"R$ 176,40",Pix Sicredi,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"R$ 239,99",Crediário,"R$ 205,98",Crediário,"R$ 121,50",Débito Sicredi,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"R$ 80,40",Pix Sicredi,"R$ 189,98",Crediário,"R$ 80,99",Crédito Av Sicredi,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 89,99",Crediário,"R$ 356,00",Dinheiro,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 279,99",Crediário,"R$ 98,99",Débito Sicredi,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 339,97",Crediário,"R$ 251,99",Débito Sicredi,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 229,99",Crediário,"R$ 98,99",Pix Sicredi,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 329,99",Crediário,"R$ 429,98",Parcelado 5 a 6 Sicredi,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 109,99",Crediário,"R$ 98,99",Débito Sicredi,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 89,99",Crediário,"R$ 225,00",Débito Sicredi,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 249,98",Crediário,"R$ 116,99",Pix Sicredi,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 299,99",Crediário,"R$ 159,99",Crediário,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 705,94",Crediário,"R$ 169,98",Crediário,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 99,99",Crediário,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 159,99",Crediário,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 109,99",Crediário,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 104,99",Crediário,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 280,00",Crediário,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 89,99",Crediário,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 189,99",Crediário,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 339,99",Crediário,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 289,99",Crediário,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 227,88",Crediário,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 495,97",Crediário,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 99,99",Crediário,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 202,80",Crediário,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 99,99",Crediário,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 179,98",Crediário,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 389,99",Crediário,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 219,99",Crediário,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 149,99",Crediário,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 209,98",Crediário,,,,,,,,,,