01/11/2025,Modalidade,03/11/2025,Modalidade,04/11/2025,Modalidade,05/11/2025,Modalidade,06/11/2025,Modalidade,07/11/2025,Modalidade,08/11/2025,Modalidade,10/11/2025,Modalidade,11/11/2025,Modalidade,12/11/2025,Modalidade,13/11/2025,Modalidade,14/11/2025,Modalidade,17/11/2025,Modalidade,18/11/2025,Modalidade,19/11/2025,Modalidade,21/11/2025,Modalidade,22/11/2025,Modalidade,24/11/2025,Modalidade,25/11/2025,Modalidade,26/11/2025,Modalidade,27/11/2025,Modalidade,29/11/2025,Modalidade,Dia 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R$ 50,00",Dinheiro,"R$ 120,00",Recebimento Crediario,"R$ 106,98",Débito Sicredi,"R$ 225,00",Debito Sicoob,"R$ 137,69",Pix Sicredi,"R$ 200,00",Recebimento Crediario,"R$ 80,99",Debito Sicoob,"R$ 628,00",Recebimento Crediario,"R$ 115,00",Recebimento Crediario,"R$ 200,00",Dinheiro,"R$ 110,00",Recebimento Crediario,"R$ 150,00",Pix Sicredi,"R$ 117,00",Dinheiro,"R$ 67,50",Recebimento Crediario,"R$ 191,00",Recebimento Crediario,"R$ 374,97",Parcelado 5 a 6 Sicoob,"R$ 99,00",Crédito Av  Sicoob,"R$ 300,00",Recebimento Crediario,"R$ 102,50",Recebimento Crediario,"R$ 99,99",Parcelado 2 a 4 Sicoob,"R$ 80,00",Debito Sicoob,"R$ 67,50",Recebimento Crediario,
"R$ 545,00",Parcelado 2 a 4 Sicoob,"R$ 66,25",Recebimento Crediario,"R$ 148,50",Crédito Av  Sicoob,"R$ 33,00",Recebimento Crediario,"R$ 150,00",Recebimento Crediario,"R$ 70,00",Recebimento Crediario,"R$ 179,99",Crediário,"R$ 126,00",Recebimento Crediario,"R$ 99,00",Crédito Av  Sicoob,"R$ 297,00",Dinheiro,"R$ 189,99",Parcelado 2 a 4 Sicoob,"R$ 89,99",BonusCred,"R$ 360,00",Dinheiro,"R$ 217,50",Debito Sicoob,"R$ 251,99",Pix Sicoob,"R$ 459,97",BonusCred,"R$ 159,99",BonusCred,"R$ 135,00",Pix Sicredi,"R$ 312,00",Pix Sicredi,"R$ 53,99",Pix Sicoob,"R$ 80,00",Recebimento Crediario,"R$ 80,00",Recebimento Crediario,
"R$ 125,00",Dinheiro,"R$ 160,00",Recebimento Crediario,"R$ 148,50",Crédito Av  Sicoob,"R$ 42,00",Recebimento Crediario,"R$ 300,00",Recebimento Crediario,"R$ 117,50",Recebimento Crediario,"R$ 179,98",Recebimento Crediario,"R$ 152,00",Recebimento Crediario,"R$ 165,00",Debito Sicoob,"R$ 40,00",Pix Sicoob,"R$ 130,00",Recebimento Crediario,"R$ 225,00",Pix Sicoob,"R$ 94,00",Recebimento Crediario,"R$ 102,50",Recebimento Crediario,"R$ 80,99",Crédito Av  Sicoob,"R$ 157,50",Debito Sicoob,"R$ 150,49",Recebimento Crediario,"R$ 509,98",Parcelado 2 a 4 Sicoob,"R$ 100,00",Recebimento Crediario,"R$ 70,00",Recebimento Crediario,"R$ 63,00",Pix Sicoob,"R$ 324,00",Débito Sicredi,
"R$ 500,00",Recebimento Crediario,"R$ 118,68",Recebimento Crediario,"R$ 300,00",Recebimento Crediario,"R$ 45,00",Pix Sicoob,"R$ 70,00",Recebimento Crediario,"R$ 100,00",Recebimento Crediario,"R$ 90,00",Recebimento Crediario,"R$ 80,00",Recebimento Crediario,"R$ 197,99",Debito Sicoob,"R$ 279,98",Parcelado 2 a 4 Sicoob,"R$ 420,00",Dinheiro,"R$ 156,00",Parcelado 5 a 6 Sicoob,"R$ 252,00",Pix Sicredi,"R$ 301,50",Pix Sicredi,"R$ 50,00",Crédito Av  Sicoob,"R$ 182,00",Parcelado 2 a 4 Sicoob,"R$ 71,99",Crédito Av  Sicoob,"R$ 80,00",Recebimento Crediario,"R$ 224,99",Pix Sicredi,"R$ 189,00",Dinheiro,"R$ 90,00",Recebimento Crediario,"R$ 40,00",Recebimento Crediario,
"R$ 110,00",Recebimento Crediario,"R$ 35,70",Recebimento Crediario,"R$ 100,00",Pix Sicoob,"R$ 143,99",Débito Sicredi,"R$ 335,89",Parcelado 2 a 3 Bonus Cred,"R$ 269,97",Parcelado 5 a 6 Sicoob,"R$ 100,00",Recebimento Crediario,"R$ 100,00",Recebimento Crediario,"R$ 200,00",Recebimento Crediario,"R$ 126,00",Dinheiro,"R$ 150,00",Crédito Av  Sicoob,"R$ 217,50",BonusCred,"R$ 45,00",Recebimento Crediario,"R$ 238,50",Crédito Av  Sicoob,"R$ 25,00",Dinheiro,"R$ 89,99",Pix Sicredi,"R$ 477,00",Pix Sicredi,"R$ 189,99",BonusCred,"R$ 54,99",Pix Sicredi,"R$ 379,97",Parcelado 5 a 6 Sicoob,"R$ 129,99",Recebimento Crediario,"R$ 62,50",Recebimento Crediario,
"R$ 256,00",Recebimento Crediario,"R$ 215,00",Crédito Av  Sicoob,"R$ 100,00",Recebimento Crediario,"R$ 300,00",Recebimento Crediario,"R$ 134,99",Crédito Av  Sicoob,"R$ 242,98",Crédito Av  Sicoob,"R$ 82,50",Recebimento Crediario,"R$ 170,00",Recebimento Crediario,"R$ 98,75",Recebimento Crediario,"R$ 68,29",Recebimento Crediario,"R$ 64,00",Recebimento Crediario,"R$ 225,00",Pix Sicoob,"R$ 143,99",Crédito Av  Sicoob,"R$ 227,50",Pix Sicredi,"R$ 38,50",Recebimento Crediario,"R$ 170,99",Pix Sicredi,"R$ 197,99",Pix Sicoob,"R$ 50,00",Recebimento Crediario,"R$ 129,99",Crediário,"R$ 297,00",Pix Sicredi,"R$ 58,50",Recebimento Crediario,"R$ 269,99",Parcelado 2 a 4 Sicredi,
"R$ 100,00",Recebimento Crediario,"R$ 58,50",Recebimento Crediario,"R$ 126,50",Recebimento Crediario,"R$ 369,98",Recebimento Crediario,"R$ 248,32",Recebimento Crediario,"R$ 40,00",Recebimento Crediario,"R$ 200,00",Recebimento Crediario,"R$ 219,99",Crediário,"R$ 278,98",Debito Sicoob,"R$ 18,80",Recebimento Crediario,"R$ 185,00",Recebimento Crediario,"R$ 182,00",Parcelado 2 a 4 Sicoob,"R$ 175,85",Recebimento Crediario,"R$ 123,00",Pix Sicredi,"R$ 116,99",Debito Sicoob,"R$ 659,97",Crediário,"R$ 89,99",Pix Sicoob,"R$ 233,99",Crédito Av  Sicoob,"R$ 89,99",Crediário,"R$ 60,00",Recebimento Crediario,"R$ 81,00",Pix Sicredi,"R$ 339,99",Parcelado 5 a 6 Sicredi,
"R$ 150,00",Recebimento Crediario,"R$ 103,00",Dinheiro,"R$ 288,00",Pix Sicoob,"R$ 135,00",Recebimento Crediario,"R$ 80,99",Crédito Av Sicredi,"R$ 179,98",Crediário,"R$ 250,00",Recebimento Crediario,"R$ 85,00",Recebimento Crediario,"R$ 72,00",Dinheiro,"R$ 239,98",Crediário,"R$ 153,74",Recebimento Crediario,"R$ 209,99",Parcelado 2 a 4 Sicoob,"R$ 200,00",Recebimento Crediario,"R$ 40,00",Recebimento Crediario,"R$ 170,99",Pix Sicoob,"R$ 63,45",Recebimento Crediario,"R$ 170,00",Crédito Av  Sicoob,"R$ 135,00",Crédito Av  Sicoob,"R$ 139,99",BonusCred,"R$ 89,99",Crediário,"R$ 100,00",Recebimento Crediario,"R$ 170,99",Débito Sicredi,
"R$ 157,50",Recebimento Crediario,"R$ 125,99",Débito Sicredi,"R$ 60,00",Recebimento Crediario,"R$ 37,50",Recebimento Crediario,"R$ 323,96",Crédito Av  Sicoob,"R$ 500,00",Crediário,"R$ 364,99",Parcelado 2 a 4 Sicoob,"R$ 79,99",Crediário,"R$ 149,99",Crediário,"R$ 399,98",Parcelado 2 a 4 Sicoob,"R$ 209,99",Parcelado 5 a 6 Sicoob,"R$ 61,00",Recebimento Crediario,"R$ 100,00",Recebimento Crediario,"R$ 40,00",Recebimento Crediario,"R$ 129,99",Parcelado 5 a 6 Sicoob,"R$ 110,00",Recebimento Crediario,"R$ 100,00",Debito Sicoob,"R$ 115,00",Recebimento Crediario,"R$ 178,00",Recebimento Crediario,"R$ 85,50",Crédito Av  Sicoob,"R$ 80,99",Pix Sicredi,"R$ 110,69",Débito Sicredi,
"R$ 109,99",Parcelado 2 a 4 Sicoob,"R$ 100,00",Recebimento Crediario,"R$ 120,00",Recebimento Crediario,"R$ 304,65",Recebimento Crediario,"R$ 25,98",Debito Sicoob,"R$ 99,00",Pix Sicredi,"R$ 162,00",Crédito Av  Sicoob,"R$ 97,50",Recebimento Crediario,"R$ 95,99",Dinheiro,"R$ 80,99",Debito Sicoob,"R$ 140,00",Recebimento Crediario,"R$ 359,88",Debito Sicoob,"R$ 117,00",Recebimento Crediario,"R$ 475,30",Parcelado 2 a 4 Sicoob,"R$ 224,17",Parcelado 2 a 4 Sicoob,"R$ 66,50",Recebimento Crediario,"R$ 299,98",Parcelado 2 a 4 Sicoob,"R$ 260,98",Recebimento Crediario,"R$ 63,00",Dinheiro,"R$ 85,50",Crédito Av  Sicoob,"R$ 111,48",Debito Sicoob,"R$ 89,99",Débito Sicredi,
"R$ 165,00",Crédito Av  Sicoob,"R$ 300,00",Recebimento Crediario,"R$ 109,30",Recebimento Crediario,"R$ 100,00",Recebimento Crediario,"R$ 100,00",Dinheiro,"R$ 254,98",Parcelado 2 a 4 Sicoob,"R$ 206,99",Pix Sicoob,"R$ 162,00",Pix Sicredi,"R$ 82,75",Recebimento Crediario,"R$ 150,00",Dinheiro,"R$ 165,00",Crediário,"R$ 130,00",Dinheiro,"R$ 221,00",Parcelado 2 a 4 Sicoob,"R$ 292,50",Parcelado 2 a 4 Sicoob,"R$ 100,00",Dinheiro,"R$ 182,00",Parcelado 2 a 4 Sicoob,"R$ 260,00",Debito Sicoob,"R$ 119,99",Recebimento Crediario,"R$ 100,00",Recebimento Crediario,"R$ 299,97",Parcelado 2 a 4 Sicoob,"R$ 600,00",Recebimento Crediario,"R$ 98,99",Débito Sicredi,
"R$ 69,99",Pix Sicoob,"R$ 243,00",Dinheiro,"R$ 139,99",Parcelado 2 a 4 Sicoob,"R$ 385,00",Parcelado 5 a 6 Sicoob,"R$ 714,97",Parcelado 5 a 6 Sicoob,"R$ 109,99",Pix Sicredi,"R$ 113,00","Pix Sicredi, Recebimento Crediario","R$ 20,00",Crédito Av  Sicoob,"R$ 200,00",Recebimento Crediario,"R$ 66,00",Pix Sicoob,"R$ 51,25",Recebimento Crediario,"R$ 14,00",Debito Sicoob,"R$ 179,99",Parcelado 5 a 6 Sicoob,"R$ 179,99",Parcelado 2 a 4 Sicoob,"R$ 172,00",Parcelado 2 a 4 Sicoob,"R$ 249,99",Parcelado 2 a 4 Sicoob,"R$ 569,97",Crediário,"R$ 169,99",Parcelado 5 a 6 Sicoob,"R$ 1.100,00",Recebimento Crediario,"R$ 80,99",Crédito Av  Sicoob,"R$ 117,35",Recebimento Crediario,"R$ 200,00",Dinheiro,
"R$ 189,99",Recebimento Crediario,"R$ 155,50",Recebimento Crediario,"R$ 523,65",Recebimento Crediario,"R$ 100,00",Recebimento Crediario,"R$ 59,99",Pix Sicredi,"R$ 349,98",Crediário,"R$ 80,99",Crédito Av  Sicoob,"R$ 77,50",Recebimento Crediario,"R$ 455,00",Debito Sicoob,"R$ 162,00",Crédito Av  Sicoob,"R$ 85,00",Dinheiro,"R$ 155,00",Debito Sicoob,"R$ 137,23",Crédito Av  Sicoob,"R$ 100,00",Dinheiro,"R$ 179,98",Parcelado 2 a 4 Sicoob,"R$ 193,50",Debito Sicoob,"R$ 243,00",Pix Sicoob,"R$ 728,00",Pix Sicoob,"R$ 69,99",Parcelado 2 a 4 Sicoob,"R$ 53,00",Debito Sicoob,"R$ 80,99",Pix Sicoob,"R$ 34,00",Débito Sicredi,
"R$ 225,00",Pix Sicredi,"R$ 197,98",Pix Sicoob,"R$ 96,20",Pix Sicoob,"R$ 125,00",Recebimento Crediario,"R$ 85,01",Recebimento Crediario,"R$ 80,99",Crédito Av  Sicoob,"R$ 179,98",Crediário,"R$ 100,00",Recebimento Crediario,"R$ 72,50",Dinheiro,"R$ 100,00",Recebimento Crediario,"R$ 185,00",Parcelado 2 a 4 Sicoob,"R$ 371,99",Parcelado 2 a 4 Sicoob,"R$ 108,00",Recebimento Crediario,"R$ 7,99",Debito Sicoob,"R$ 170,99",Pix Sicredi,"R$ 149,99",Parcelado 2 a 4 Sicoob,"R$ 47,50",Pix Sicoob,"R$ 81,00",Pix Sicredi,"R$ 224,99",Parcelado 2 a 4 Sicoob,"R$ 273,00",Parcelado 2 a 4 Sicoob,"R$ 500,00",BonusCred,"R$ 152,99",Parcelado 2 a 4 Sicredi,
"R$ 143,99",Pix Sicoob,"R$ 90,00",Pix Sicredi,"R$ 69,99",Pix Sicoob,"R$ 360,00",Parcelado 5 a 6 Sicoob,"R$ 100,00",Recebimento Crediario,"R$ 107,50",Recebimento Crediario,"R$ 77,50","Pix Sicoob, Recebimento Crediario","R$ 142,50",Recebimento Crediario,"R$ 106,00",Recebimento Crediario,"R$ 90,00",Recebimento Crediario,"R$ 176,31",Pix Sicredi,"R$ 50,00",Dinheiro,"R$ 150,00",Pix Sicoob,"R$ 210,00",Dinheiro,"R$ 98,99",Pix Sicredi,"R$ 634,95",Crediário,"R$ 259,99",Parcelado 5 a 6 Sicoob,,,"R$ 89,99",Parcelado 2 a 4 Sicoob,"R$ 69,99",Crediário,"R$ 104,97",Crédito Av  Sicoob,"R$ 110,00",Recebimento Crediario,
"R$ 70,00",Recebimento Crediario,"R$ 110,00",Recebimento Crediario,"R$ 116,99",Debito Sicoob,"R$ 150,00",Recebimento Crediario,"R$ 55,00",Recebimento Crediario,"R$ 232,00",Pix Sicredi,"R$ 179,98",Parcelado 2 a 4 Sicoob,"R$ 69,99",Recebimento Crediario,"R$ 100,00",Recebimento Crediario,"R$ 50,75",Recebimento Crediario,"R$ 299,98",Crediário,"R$ 109,99",Crediário,"R$ 70,00",Recebimento Crediario,"R$ 114,99",Crediário,"R$ 126,00",Pix Sicoob,"R$ 129,99",Parcelado 2 a 4 Sicoob,"R$ 479,99",Parcelado 5 a 6 Sicoob,,,"R$ 150,00",Dinheiro,"R$ 129,99",Crediário,"R$ 161,99",Crédito Av  Sicoob,"R$ 62,99",Crédito Av Sicredi,
"R$ 593,00",Recebimento Crediario,"R$ 150,00",Recebimento Crediario,"R$ 60,00",Parcelado 2 a 4 Sicoob,"R$ 175,00",Parcelado 2 a 4 Sicoob,"R$ 80,99",Débito Sicredi,"R$ 143,99",Pix Sicredi,"R$ 70,00","Recebimento Crediario, Dinheiro","R$ 137,50",Recebimento Crediario,"R$ 117,00",Dinheiro,,,"R$ 179,99",Crediário,"R$ 239,99",Parcelado 2 a 4 Sicoob,"R$ 99,99",Parcelado 2 a 4 Sicoob,"R$ 199,99",Crediário,"R$ 64,95",Recebimento Crediario,"R$ 10,00",Pix Sicoob,"R$ 272,00",Parcelado 2 a 4 Sicoob,,,"R$ 448,09",Link de pagamento Sicoob,,,"R$ 89,99",Pix Sicredi,"R$ 80,99",Débito Sicredi,
"R$ 219,99",Crediário,"R$ 265,00",Crédito Av Sicredi,"R$ 71,53",Recebimento Crediario,"R$ 89,99",Parcelado 2 a 4 Sicoob,"R$ 73,00",Debito Sicoob,"R$ 197,98",Debito Sicoob,"R$ 80,00",Dinheiro,"R$ 68,75",Recebimento Crediario,"R$ 80,99",Pix Sicoob,,,"R$ 95,00",Recebimento Crediario,"R$ 309,99",Parcelado 5 a 6 Sicoob,"R$ 89,99",Pix Sicredi,"R$ 377,98",Crédito Av  Sicoob,"R$ 36,75",Recebimento Crediario,"R$ 36,25",Recebimento Crediario,"R$ 200,00",Recebimento Crediario,,,"R$ 174,98",Crediário,,,"R$ 142,60",Recebimento Crediario,"R$ 100,00",Crédito Av Sicredi,
"R$ 589,95",Crediário,"R$ 261,00",Debito Sicoob,"R$ 99,00",Dinheiro,"R$ 116,99",Recebimento Crediario,"R$ 499,95",Parcelado 2 a 4 Sicoob,"R$ 132,50","Recebimento Crediario, Debito Sicoob","R$ 141,80","Dinheiro, Recebimento Crediario","R$ 179,99",Debito Sicoob,"R$ 209,99",Parcelado 5 a 6 Sicoob,,,"R$ 810,96",BonusCred,"R$ 220,50",Parcelado 2 a 4 Sicoob,,,"R$ 184,50",Crédito Av  Sicoob,"R$ 125,99",Debito Sicoob,"R$ 134,99",Crédito Av  Sicoob,"R$ 174,99",Parcelado 2 a 4 Sicoob,,,,,,,"R$ 143,99",Debito Sicoob,"R$ 249,99",Parcelado 5 a 6 Sicredi,
"R$ 389,98",Crediário,"R$ 249,00",Parcelado 2 a 4 Sicoob,"R$ 549,97",Parcelado 5 a 6 Sicoob,"R$ 245,00",Pix Sicredi,"R$ 63,00",Dinheiro,"R$ 224,99",Pix Sicredi,"R$ 134,99",Debito Sicoob,"R$ 69,98",Recebimento Crediario,"R$ 105,00",Recebimento Crediario,,,"R$ 150,00",Recebimento Crediario,"R$ 255,00",Parcelado 5 a 6 Sicoob,,,"R$ 200,00",Recebimento Crediario,"R$ 264,00",Recebimento Crediario,"R$ 189,99",Parcelado 2 a 4 Sicoob,"R$ 117,00",Dinheiro,,,,,,,"R$ 252,00",Pix Sicoob,"R$ 125,99",Pix Sicredi,
"R$ 294,99",Crediário,"R$ 143,99",Pix Sicoob,"R$ 90,00",Dinheiro,"R$ 247,50",Recebimento Crediario,"R$ 153,24",Pix Sicredi,"R$ 119,99",Crediário,"R$ 353,75",Dinheiro,"R$ 109,25",Recebimento Crediario,"R$ 12,98",Recebimento Crediario,,,"R$ 315,70",Recebimento Crediario,"R$ 143,99",Pix Sicoob,,,"R$ 272,00",Parcelado 2 a 4 Sicoob,"R$ 59,99",Crediário,"R$ 100,00",Dinheiro,"R$ 283,00",Crédito Av  Sicoob,,,,,,,"R$ 72,00",Crédito Av  Sicoob,"R$ 509,98",Parcelado 2 a 4 Sicredi,
,,"R$ 326,50",Recebimento Crediario,"R$ 171,00",Crédito Av  Sicoob,"R$ 56,50",Recebimento Crediario,"R$ 50,99",Crediário,"R$ 276,68","Debito Sicoob, Recebimento Crediario","R$ 259,99",Crediário,"R$ 161,98",Pix Sicoob,"R$ 100,00",Dinheiro,,,"R$ 249,99",Parcelado 2 a 4 Sicoob,"R$ 80,99",Crédito Av  Sicoob,,,"R$ 119,99",Parcelado 2 a 4 Sicoob,"R$ 139,50",Pix Sicredi,"R$ 220,50",Pix Sicoob,"R$ 289,99",Crediário,,,,,,,"R$ 170,00",Pix Sicredi,"R$ 252,00",Débito Sicredi,
,,"R$ 63,00",Pix Sicoob,"R$ 67,50",Recebimento Crediario,"R$ 114,00",Recebimento Crediario,"R$ 159,99",Crediário,"R$ 57,50",Recebimento Crediario,"R$ 89,99",Crediário,"R$ 62,50",Pix Sicredi,"R$ 17,00",Pix Sicoob,,,"R$ 394,99",Parcelado 2 a 4 Sicoob,"R$ 90,00",Recebimento Crediario,,,"R$ 161,99",Crédito Av  Sicoob,"R$ 239,40",Pix Sicredi,,,"R$ 23,00",Recebimento Crediario,,,,,,,"R$ 80,99",Debito Sicoob,"R$ 349,97",Parcelado 2 a 4 Sicredi,
,,"R$ 55,00",Recebimento Crediario,"R$ 100,00",Dinheiro,"R$ 193,50",Dinheiro,"R$ 62,99",Crédito Av Sicredi,"R$ 80,00",Crédito Av  Sicoob,"R$ 289,98",Parcelado 5 a 6 Sicoob,"R$ 37,50",Pix Sicredi,"R$ 335,99",Parcelado 2 a 4 Sicoob,,,"R$ 80,99",Crédito Av  Sicoob,"R$ 220,00",Crediário,,,"R$ 109,99",Parcelado 2 a 4 Sicoob,"R$ 268,00",Pix Sicredi,,,"R$ 269,98",BonusCred,,,,,,,"R$ 272,00",Parcelado 2 a 4 Sicoob,"R$ 80,99",Crédito Av Sicredi,
,,"R$ 141,70",Recebimento Crediario,"R$ 84,00",Crédito Av  Sicoob,"R$ 161,99",Pix Sicredi,"R$ 80,99",Debito Sicoob,"R$ 80,99",Pix Sicredi,"R$ 129,99",Crediário,"R$ 91,60",Recebimento Crediario,"R$ 80,99",Pix Sicoob,,,"R$ 80,99",Pix Sicoob,"R$ 217,50",Pix Sicoob,,,"R$ 217,50",Parcelado 2 a 4 Sicoob,"R$ 203,90",Recebimento Crediario,,,"R$ 370,00",Debito Sicoob,,,,,,,"R$ 279,99",Crediário,"R$ 349,98",Parcelado 5 a 6 Sicredi,
,,"R$ 100,00",Recebimento Crediario,"R$ 37,50",Dinheiro,"R$ 65,00",Recebimento Crediario,"R$ 42,00",Pix Sicredi,"R$ 150,00",Recebimento Crediario,"R$ 147,00",Recebimento Crediario,"R$ 161,99",Debito Sicoob,"R$ 89,99",Crediário,,,"R$ 170,00",Pix Sicredi,"R$ 153,00",Pix Sicredi,,,"R$ 575,97",Debito Sicoob,"R$ 456,29",Debito Sicoob,,,"R$ 152,99",Crédito Av  Sicoob,,,,,,,,,"R$ 149,99",Crediário,
,,"R$ 90,00",Pix Sicoob,"R$ 169,98",Parcelado 2 a 4 Sicoob,"R$ 81,00",Crédito Av  Sicoob,"R$ 83,10",Recebimento Crediario,"R$ 399,98",Parcelado 5 a 6 Sicoob,"R$ 139,50",Pix Sicoob,"R$ 50,00",Recebimento Crediario,"R$ 80,99",Pix Sicredi,,,"R$ 62,50",Debito Sicoob,"R$ 82,79",Pix Sicredi,,,"R$ 312,00",Dinheiro,"R$ 89,99",Recebimento Crediario,,,"R$ 116,99",Crédito Av  Sicoob,,,,,,,,,"R$ 225,98",Crediário,
,,"R$ 100,00",Recebimento Crediario,"R$ 189,00",Pix Sicredi,"R$ 109,99",Recebimento Crediario,"R$ 15,75",Recebimento Crediario,"R$ 259,98",Crediário,"R$ 116,99",Debito Sicoob,"R$ 200,00",Recebimento Crediario,"R$ 429,98",Crediário,,,"R$ 124,99",Crediário,"R$ 80,99",Pix Sicredi,,,"R$ 162,00",Dinheiro,"R$ 787,50",Parcelado 2 a 4 Sicoob,,,"R$ 89,99",BonusCred,,,,,,,,,"R$ 62,99",Dinheiro,
,,"R$ 219,99",Crediário,"R$ 130,00",Recebimento Crediario,"R$ 89,99",Parcelado 2 a 4 Sicoob,"R$ 1.808,59",Parcelado 7 a 10 Sicoob,"R$ 109,99",Crediário,"R$ 90,00",Dinheiro,"R$ 55,00",Recebimento Crediario,"R$ 143,99",Crédito Av  Sicoob,,,"R$ 105,00",Crediário,"R$ 450,00",Recebimento Crediario,,,"R$ 49,00",Crédito Av  Sicoob,"R$ 284,00",Pix Sicoob,,,"R$ 430,50",Parcelado 2 a 4 Sicoob,,,,,,,,,"R$ 464,98",BonusCred,
,,"R$ 169,99",Crediário,"R$ 376,99",Crediário,"R$ 81,00",Pix Sicredi,"R$ 390,00",Recebimento Crediario,"R$ 50,00",Dinheiro,"R$ 285,00","Recebimento Crediario, Pix Sicredi","R$ 107,99",Crédito Av  Sicoob,"R$ 200,00",Recebimento Crediario,,,"R$ 196,00",Crediário,"R$ 229,98",Parcelado 2 a 4 Sicoob,,,,,,,,,"R$ 24,00",Dinheiro,,,,,,,,,"R$ 70,00",Dinheiro,
,,,,"R$ 89,99",Crediário,"R$ 215,00",Recebimento Crediario,"R$ 150,00",Recebimento Crediario,"R$ 169,99",Parcelado 2 a 4 Sicoob,"R$ 240,73","Recebimento Crediario, Dinheiro","R$ 620,00",Pix Sicredi,"R$ 143,99",Pix Sicoob,,,"R$ 144,00",Debito Sicoob,"R$ 353,98",Crédito Av  Sicoob,,,,,,,,,"R$ 833,17",Recebimento Crediario,,,,,,,,,"R$ 120,99",Débito Sicredi,
,,,,,,"R$ 359,97",Parcelado 5 a 6 Sicoob,"R$ 294,27",Recebimento Crediario,"R$ 80,99",Debito Sicoob,"R$ 89,99",Crediário,"R$ 89,99",Dinheiro,"R$ 143,99",Dinheiro,,,,,"R$ 269,00",Parcelado 2 a 4 Sicoob,,,,,,,,,"R$ 189,90",Crediário,,,,,,,,,"R$ 89,99",Débito Sicredi,
,,,,,,"R$ 175,00",Parcelado 2 a 4 Sicoob,"R$ 200,00",Recebimento Crediario,"R$ 429,98",Parcelado 2 a 4 Sicoob,"R$ 161,99",Debito Sicoob,"R$ 178,20",Debito Sicoob,,,,,,,"R$ 100,00",Recebimento Crediario,,,,,,,,,"R$ 220,00",Pix Sicredi,,,,,,,,,"R$ 45,00",Recebimento Crediario,
,,,,,,"R$ 215,00",Crediário,,,"R$ 266,93","Crédito Av  Sicoob, Recebimento Crediario","R$ 240,00",Recebimento Crediario,"R$ 179,99",Parcelmento bonuscred,,,,,,,"R$ 375,00",Crediário,,,,,,,,,,,,,,,,,,,"R$ 290,00",Recebimento Crediario,
,,,,,,"R$ 179,99",Crediário,,,"R$ 87,50","Recebimento Crediario, Debito Sicoob","R$ 451,38",Recebimento Crediario,"R$ 149,99",Parcelado 2 a 4 Sicoob,,,,,,,"R$ 116,50",Recebimento Crediario,,,,,,,,,,,,,,,,,,,"R$ 89,99",Crediário,
,,,,,,"R$ 409,98",Crediário,,,"R$ 100,50",Recebimento Crediario,"R$ 238,99",Parcelado 2 a 4 Sicoob,"R$ 72,00",Pix Sicredi,,,,,,,"R$ 296,98",Debito Sicoob,,,,,,,,,,,,,,,,,,,"R$ 116,99",Débito Sicredi,
,,,,,,,,,,,,"R$ 49,99",Crédito Av  Sicoob,"R$ 204,99",Parcelado 2 a 4 Sicoob,,,,,,,"R$ 133,00",Pix Sicoob,,,,,,,,,,,,,,,,,,,"R$ 109,99",Recebimento Crediario,
,,,,,,,,,,,,"R$ 249,99",Parcelado 2 a 4 Sicoob,"R$ 25,00",Dinheiro,,,,,,,"R$ 300,00",Dinheiro,,,,,,,,,,,,,,,,,,,"R$ 117,00",Pix Sicredi,
,,,,,,,,,,,,"R$ 364,99",Recebimento Crediario,"R$ 175,00",Parcelado 2 a 4 Sicoob,,,,,,,"R$ 89,99",Parcelado 2 a 4 Sicoob,,,,,,,,,,,,,,,,,,,"R$ 106,50",Recebimento Crediario,
,,,,,,,,,,,,"R$ 328,48",Pix Sicoob,"R$ 100,00",Recebimento Crediario,,,,,,,"R$ 189,99",Parcelado 2 a 4 Sicoob,,,,,,,,,,,,,,,,,,,"R$ 226,99",Pix Sicredi,
,,,,,,,,,,,,"R$ 249,98",Parcelado 2 a 4 Sicoob,"R$ 162,00",Pix Sicredi,,,,,,,"R$ 189,99",Crediário,,,,,,,,,,,,,,,,,,,"R$ 550,00",Dinheiro,
,,,,,,,,,,,,"R$ 225,00",Crédito Av  Sicoob,,,,,,,,,"R$ 99,80",Crédito Av  Sicoob,,,,,,,,,,,,,,,,,,,"R$ 175,50",Pix Sicredi,
,,,,,,,,,,,,"R$ 147,00",Recebimento Crediario,,,,,,,,,"R$ 80,99",Crédito Av Sicredi,,,,,,,,,,,,,,,,,,,"R$ 220,00",Débito Sicredi,
,,,,,,,,,,,,"R$ 23,00",Dinheiro,,,,,,,,,"R$ 113,00",Pix Sicredi,,,,,,,,,,,,,,,,,,,"R$ 220,00",Crédito Av Sicredi,
,,,,,,,,,,,,"R$ 162,00",Debito Sicoob,,,,,,,,,"R$ 139,99",Parcelado 2 a 4 Sicoob,,,,,,,,,,,,,,,,,,,"R$ 299,98",Parcelado 5 a 6 Sicredi,
,,,,,,,,,,,,"R$ 59,99",Debito Sicoob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,